file,label,dominant_ratio,cumulative_energy_1,cumulative_energy_3,singular_spread,frobenius_error_1,frobenius_error_3,num_svals
perfecthit-1.wav,perfect,0.8849042654037476,0.8849042654037476,0.9125748872756958,0.001116149127483368,0.33925777673721313,0.2956776022911072,69
perfecthit-2.wav,perfect,0.9006586074829102,0.9006586074829102,0.9176371693611145,0.0012682195520028472,0.31518471240997314,0.2869892418384552,69
perfecthit-3.wav,perfect,0.8647151589393616,0.8647151589393616,0.9075226783752441,0.0010774217080324888,0.3678109347820282,0.304100900888443,69
perfecthit-4.wav,perfect,0.8560927510261536,0.8560927510261536,0.8915383219718933,0.0010421500774100423,0.3793511390686035,0.3293352425098419,69
perfecthit-5.wav,perfect,0.8491523265838623,0.8491523265838623,0.9031775593757629,0.0010882662609219551,0.3883911669254303,0.311163067817688,69
perfecthit-6.wav,perfect,0.8995331525802612,0.8995331525802612,0.9380136728286743,0.003952996339648962,0.3169650137424469,0.24897053837776184,34
perfecthit-7.wav,perfect,0.8577451109886169,0.8577451109886169,0.9054864645004272,0.001119435764849186,0.37716689705848694,0.3074304759502411,69
perfecthit-8.wav,perfect,0.8900500535964966,0.8900500535964966,0.9253686666488647,0.0012755865463986993,0.3315872251987457,0.2731875777244568,69
perfecthit-9.wav,perfect,0.874977171421051,0.874977171421051,0.9140681028366089,0.001192511641420424,0.3535855710506439,0.29314130544662476,69
offcenter-1.wav,offcenter,0.8590676784515381,0.8590676784515381,0.9118250012397766,0.0012043826282024384,0.37540966272354126,0.29694294929504395,69
offcenter-2.wav,offcenter,0.8657660484313965,0.8657660484313965,0.9097267985343933,0.001183365355245769,0.3663794994354248,0.3004549741744995,69
offcenter-3.wav,offcenter,0.867099940776825,0.867099940776825,0.9046028852462769,0.001137624029070139,0.36455464363098145,0.3088643252849579,69
offcenter-4.wav,offcenter,0.8499601483345032,0.8499601483345032,0.9151425361633301,0.0013029075926169753,0.3873496353626251,0.2913028597831726,69
offcenter-5.wav,offcenter,0.8632264137268066,0.8632264137268066,0.8983237743377686,0.0010454838629812002,0.3698292374610901,0.31886717677116394,69
